question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justifications,method
"______, ________ and _______ are all factors which can impinge upon stakeholder communication and collaboration.","Resource intensity, Culture clash, Accountability","Resource clash, Culture intensity, Accountability","Resource intensity, Culture clash, Coordinative fluidity","Resource clash, Culture clash, Coordinative fluidity",A,business_ethics,val,C,"[<OpenAIObject at 0x7f9fa0958860> JSON: {
  "" A"": -14.44356,
  "" C"": -10.933769,
  ""A"": -3.6448116,
  ""C"": -0.026493492,
  ""c"": -14.654838
}]","The correct answer is (C) Resource intensity, Culture clash, Coordinative fluidity. Resource intensity, culture clash, and coordinative fluidity are all factors that can affect stakeholder communication and collaboration. Resource intensity refers to the amount of resources available to stakeholders, which can affect their ability to communicate and collaborate. Culture clash refers to the differences in culture between stakeholders, which can lead to misunderstandings and difficulty in communication. Coordinative fluidity refers to the ability of stakeholders to coordinate their efforts, which can also affect communication and collaboration.",baseline
"Beyond the business case for engaging in CSR there are a number of moral arguments relating to: negative _______, the _______that corporations possess and the ________ of business and society.","Externalities, Power, Independence","Publicity, Insubstantial resources, Mutual dependence","Publicity, Power, Independence","Externalities, Power, Mutual dependence",D,business_ethics,dev,D,"[<OpenAIObject at 0x7f9f68012630> JSON: {
  "" D"": -10.911242,
  ""A"": -8.196142,
  ""C"": -9.02754,
  ""D"": -0.00041625864,
  ""d"": -13.663028
}]","The correct answer is (D) Externalities, Power, Mutual dependence. The moral arguments relating to CSR beyond the business case include negative externalities, the power that corporations possess, and the mutual dependence of business and society. Negative externalities refer to the negative effects of a company's activities on the environment or society, such as pollution or exploitation of workers. Power refers to the ability of corporations to influence the lives of people and the environment. Mutual dependence refers to the idea that businesses and society are mutually dependent on each other for success.",baseline
"_______ is the direct attempt to formally or informally manage ethical issues or problems, through specific policies, practices and programmes.",Corporate social responsibility,Business ethics management,Sustainability,Environmental management,B,business_ethics,dev,B,"[<OpenAIObject at 0x7f9fa0940cc0> JSON: {
  "" B"": -12.366716,
  ""A"": -17.573587,
  ""B"": -5.197998e-06,
  ""C"": -17.589457,
  ""b"": -13.833248
}]","Business ethics management is the direct attempt to formally or informally manage ethical issues or problems, through specific policies, practices and programmes. Corporate social responsibility, sustainability, and environmental management are all related concepts, but they are not the same as business ethics management.",baseline
"To ensure the independence of the non-executive board members, they are a number of steps which can be taken, which include non-executives being drawn from _______ the company, being appointed for a _________ time period as well as being appointed _________.","Outside, Limited, Independently","Inside, Limited, Intermittently","Outside, Unlimited, Intermittently","Inside, Unlimited, Independently",A,business_ethics,dev,A,"[<OpenAIObject at 0x7f9fa0960180> JSON: {
  "" A"": -11.497224,
  ""A"": -0.00085027673,
  ""B"": -16.86033,
  ""C"": -7.0828757,
  ""a"": -14.546889
}]","The correct answer is (A) Outside, Limited, Independently. To ensure the independence of the non-executive board members, they should be drawn from outside the company, appointed for a limited time period, and appointed independently. This will help to ensure that the non-executive board members are not influenced by the company and can make decisions objectively.",baseline
"Three contrasting tactics that CSO's can engage in to meet their aims are ________ which typically involves research and communication, ________, which may involve physically attacking a company's operations or ________, often involving some form of _______.","Non-violent direct action, Violent direct action, Indirect action, Boycott","Indirect action, Instrumental action, Non-violent direct action, Information campaign","Indirect action, Violent direct action, Non-violent direct-action Boycott","Non-violent direct action, Instrumental action, Indirect action, Information campaign",C,business_ethics,dev,D,"[<OpenAIObject at 0x7f9fa0960630> JSON: {
  "" D"": -10.424873,
  ""A"": -10.492943,
  ""B"": -8.617388,
  ""C"": -8.183962,
  ""D"": -0.0005193619
}]","The correct answer is (D) Non-violent direct action, Instrumental action, Indirect action, Information campaign. Non-violent direct action typically involves research and communication, instrumental action may involve physically attacking a company's operations, indirect action often involves some form of boycott, and information campaigns involve spreading information about a cause.",baseline
"In contrast to _______, _______ aim to reward favourable behaviour by companies. The success of such campaigns have been heightened through the use of ___________, which allow campaigns to facilitate the company in achieving _________ .","Buycotts, Boycotts, Blockchain technology, Charitable donations","Buycotts, Boycotts, Digital technology, Increased Sales","Boycotts, Buyalls, Blockchain technology, Charitable donations","Boycotts, Buycotts, Digital technology, Increased Sales",D,business_ethics,dev,D,"[<OpenAIObject at 0x7f9fa0960b30> JSON: {
  "" D"": -11.3759575,
  ""B"": -11.11136,
  ""C"": -15.90653,
  ""D"": -2.7013197e-05,
  ""d"": -14.500686
}]","The correct answer is (D) Boycotts, Buycotts, Digital technology, Increased Sales. Buycotts are campaigns that aim to reward favourable behaviour by companies, while boycotts are campaigns that aim to punish companies for their unfavourable behaviour. Digital technology, such as social media, has been used to heighten the success of such campaigns, allowing them to facilitate the company in achieving increased sales.",baseline
Type I muscle fibres have the following characteristics:,"white, glycolytic, slow contracting.","white, oxidative, slow contracting.","red, oxidative, fast contracting.","red, oxidative, slow contracting.",D,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f9f68023450> JSON: {
  "" C"": -10.859332,
  ""A"": -2.449243,
  ""B"": -11.557297,
  ""C"": -0.0903715,
  ""c"": -11.232674
}]","Type I muscle fibres are also known as slow-twitch or red muscle fibres. They are red in colour due to their high concentration of myoglobin, an oxygen-binding protein. They are oxidative, meaning they use oxygen to generate energy, and they are slow contracting, meaning they generate less force than type II muscle fibres. Therefore, the correct answer is (C) red, oxidative, fast contracting.",baseline
Mr Wood has just returned from surgery and has severe internal bleeding. Which of the following observations would you NOT expect to find on undertaking post-operative observations?,Hypotension.,Bradycardia.,Confusion,Tachypnoea.,B,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f9f68023db0> JSON: {
  "" C"": -12.469588,
  ""B"": -14.937148,
  ""C"": -1.6402679e-05,
  ""D"": -11.383197,
  ""c"": -14.096313
}]","Post-operative observations typically include monitoring of vital signs such as blood pressure, heart rate, respiratory rate, and oxygen saturation. Confusion is not a vital sign and would not be expected to be observed during post-operative observations.",baseline
Which of the following represents Cushing's response?,"Low blood pressure, tachycardia.","High blood pressure, tachycardia.","Low blood pressure, bradycardia.","High blood pressure, bradycardia.",D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f9f68023630> JSON: {
  "" D"": -11.044834,
  ""A"": -11.996593,
  ""B"": -7.3596377,
  ""C"": -12.632736,
  ""D"": -0.0006622002
}]","Cushing's response is characterized by high blood pressure and bradycardia, so the correct answer is (D).",baseline
How many 'true' movements are available at the hip?,4,5,6,7,C,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f9f68023a40> JSON: {
  "" C"": -10.959342,
  ""A"": -4.012295,
  ""B"": -1.7372683,
  ""C"": -0.23816851,
  ""D"": -4.028057
}]","The hip joint is a ball and socket joint that allows for three planes of movement: flexion, extension, abduction, adduction, internal rotation, and external rotation. Therefore, there are six true movements available at the hip.",baseline
"For patients with asthma, how many times a day should a peak flow reading be taken?",Daily.,Twice a day.,Three times a week.,Once a week.,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9f68023bd0> JSON: {
  "" A"": -12.19032,
  "" B"": -11.137753,
  ""A"": -1.0014353,
  ""B"": -0.45787522,
  ""b"": -13.72748
}]",Peak flow readings should be taken twice a day for patients with asthma. This helps to monitor the patient's lung function and can help to detect any changes in their condition.,baseline
Which of the following is incorrect?,Dentures should be removed at night.,Dentures should be cleaned on removal from mouth.,Dentures should be stored in a named pot.,Dentures should be stored dry.,D,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f9f68023b80> JSON: {
  "" C"": -13.018878,
  ""A"": -13.870271,
  ""B"": -14.542698,
  ""C"": -3.7684315e-06,
  ""c"": -15.54961
}]",Option C is incorrect because dentures should be stored in a container filled with water or a denture cleaning solution when not in use.,baseline
Why might you choose to use a silicone catheter (as of 2020 medical knowledge)?,Because the patient does not like the others.,Because the patient is allergic to latex.,Because there are no other kinds of catheter at your disposal.,Because it is cheaper.,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9f68023180> JSON: {
  "" B"": -12.472881,
  ""A"": -17.883415,
  ""B"": -4.838501e-06,
  ""C"": -17.913727,
  ""b"": -13.782962
}]",Silicone catheters are often chosen because they are hypoallergenic and do not cause allergic reactions in patients who are allergic to latex.,baseline
The recommended dose of creatine to load the muscles of a 70 kg man within one week is:,2 g/day.,5 g/day.,10 g/day.,20 g/day.,D,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9f68023040> JSON: {
  "" B"": -9.817246,
  ""A"": -7.7693515,
  ""B"": -0.32850474,
  ""C"": -1.2828008,
  ""D"": -6.0970287
}]","The recommended dose of creatine to load the muscles of a 70 kg man within one week is 5 g/day. This is typically divided into two or three doses of 2-3 g each, taken with meals.",baseline
The coding sequences of genes are called:,extrons.,exons.,introns.,codons.,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9f68023a90> JSON: {
  "" B"": -10.981899,
  ""B"": -0.0016082464,
  ""C"": -13.9928875,
  ""D"": -6.446673,
  ""b"": -12.657583
}]","The coding sequences of genes are called exons. Exons are the parts of a gene that contain the instructions for making proteins. Introns are the non-coding sequences of a gene, and codons are the three-nucleotide sequences that make up the genetic code.",baseline
Which of the following is true with regards to the anatomy involved in the rectal examination?,The sacrum is palpated anteriorly,The pubic bone is palpated anteriorly in both sexes,In the male the testes can be appreciated anteriorly,The cervix can sometimes be felt anteriorly in the female,D,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9f680237c0> JSON: {
  "" B"": -10.1864805,
  ""A"": -12.137032,
  ""B"": -8.5905114e-05,
  ""C"": -11.390864,
  ""D"": -10.389383
}]","The rectal examination is a physical examination of the rectum and anus. During the examination, the examiner palpates the anterior wall of the rectum to assess for any abnormalities. The pubic bone is palpated anteriorly in both sexes, while the sacrum is palpated posteriorly. In the male, the testes can be appreciated anteriorly, while in the female, the cervix can sometimes be felt anteriorly. Therefore, the correct answer is (B).",baseline
Using a large volume spacer will improve the deposition of medication by:,10-15%,40-60%,99-100%,30-40%,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9fa09406d0> JSON: {
  "" B"": -10.467449,
  ""B"": -0.00014909416,
  ""C"": -14.609164,
  ""D"": -9.042452,
  ""b"": -13.197237
}]",Using a large volume spacer can improve the deposition of medication by 40-60%. This is because the larger volume of the spacer allows for more of the medication to be inhaled and deposited in the lungs.,baseline
Which one of the following is not a use for intravenous infusions?,Administer prescribed intravenous fluid.,Administer dyes or contrast media for radiographic examinations.,Administer prescribed blood products.,To orally hydrate a patient.,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f9fa0940630> JSON: {
  "" D"": -13.33253,
  ""A"": -18.915033,
  ""C"": -18.879263,
  ""D"": -1.6207987e-06,
  ""d"": -16.859312
}]","Intravenous infusions are used to administer prescribed intravenous fluid, dyes or contrast media for radiographic examinations, and prescribed blood products. They are not used to orally hydrate a patient.",baseline
"During exercise, adrenaline secretion from the adrenal glands is stimulated by:",increased plasma glucose.,increased plasma fatty acids.,increased plasma ACTH.,increased sympathetic nerve activity.,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f9f68023860> JSON: {
  "" D"": -12.451668,
  ""A"": -18.09123,
  ""C"": -16.832548,
  ""D"": -4.2433903e-06,
  ""d"": -14.775887
}]","Adrenaline secretion from the adrenal glands is stimulated by increased sympathetic nerve activity during exercise. This increased activity triggers the release of adrenaline, which helps to increase heart rate, blood pressure, and respiration rate.",baseline
Which of the following is true of blackouts and dizziness?,Confusion following a blackout is strongly suggestive of a fit,Pre-syncope is another term for a blackout,An epileptic fit always leads to the loss of consciousness,In the investigation of a blackout a blood sugar estimation is of no value,A,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9fa0940680> JSON: {
  "" B"": -9.232577,
  ""A"": -12.595976,
  ""B"": -0.00010498132,
  ""D"": -13.7671585,
  ""b"": -12.843999
}]","Pre-syncope is another term for a blackout, which is a brief loss of consciousness due to a decrease in blood flow to the brain. Confusion following a blackout is not necessarily indicative of a fit, and an epileptic fit does not always lead to the loss of consciousness. A blood sugar estimation may be of value in the investigation of a blackout.",baseline
Which of the following is true about abdominal pain?,Peptic ulcer pain is usually experienced in the hypogastrium,The pain of irritable bowel syndrome is usually well localised,The pain of oesophagitis is usually retrosternal in site,The pain of pancreatitis usually radiates to the groin,C,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f9fa0940d60> JSON: {
  "" A"": -10.260937,
  ""A"": -0.008661861,
  ""B"": -4.758883,
  ""D"": -12.203671,
  ""a"": -11.773119
}]","A is the correct answer because peptic ulcer pain is usually experienced in the hypogastrium, which is the area below the ribs and above the navel. B is incorrect because the pain of irritable bowel syndrome is usually diffuse and not well localized. C is incorrect because the pain of oesophagitis is usually retrosternal, which means it is felt behind the breastbone. D is incorrect because the pain of pancreatitis usually radiates to the back, not the groin.",baseline
The following are features of Alzheimer's disease except:,short-term memory loss.,confusion.,poor attention.,drowsiness.,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f9f68023900> JSON: {
  "" D"": -13.369627,
  ""A"": -19.244858,
  ""C"": -17.656298,
  ""D"": -1.6207987e-06,
  ""d"": -16.495827
}]","Alzheimer's disease is a progressive neurological disorder that affects memory, thinking, and behavior. Common symptoms include short-term memory loss, confusion, poor attention, and difficulty with language and communication. Drowsiness is not a common symptom of Alzheimer's disease.",baseline
Which of the following is true about radial nerve palsy?,The radial nerve arises from the lateral cord of the brachial plexus,It is associated with sensory loss over the medial half of the hand,It leads to wrist drop,It can occur due to a superficial laceration over the wrist,C,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f9f68023770> JSON: {
  "" A"": -10.691435,
  ""A"": -0.20267126,
  ""B"": -11.331743,
  ""C"": -1.6963751,
  ""D"": -9.942291
}]","The radial nerve arises from the lateral cord of the brachial plexus and is associated with wrist drop, but not sensory loss over the medial half of the hand. It can occur due to a deep laceration over the wrist, but not a superficial laceration.",baseline
How can several different proteins be produced from the same gene?,By selective transcription of different parts of the DNA in the gene.,By doubling or tripling the length of the mRNA molecule produced from the primary transcript.,"The primary transcripts of many genes can be spliced in various ways to produce different mRNAs, a process known as alternative RNA splicing.",By splicing of the mRNA molecule after it has been formed from the primary transcript.,C,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f9f68023220> JSON: {
  "" C"": -12.51595,
  ""A"": -17.043484,
  ""C"": -4.838501e-06,
  ""D"": -17.4338,
  ""c"": -13.686537
}]","The primary transcripts of many genes can be spliced in various ways to produce different mRNAs, a process known as alternative RNA splicing. This process allows for the production of several different proteins from the same gene.",baseline
How long can a long-term catheter stay in situ?,4 weeks.,7 weeks.,12 weeks.,20 weeks.,C,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f9f680230e0> JSON: {
  "" D"": -10.690564,
  ""A"": -12.237214,
  ""B"": -9.9164915,
  ""C"": -3.934907,
  ""D"": -0.019822108
}]","
The maximum recommended time for a long-term catheter to stay in situ is 20 weeks. After this time, the catheter should be removed and replaced with a new one.",baseline
Stridor is described as:,A wheezing sound.,A gurgling sound.,A rattling sound.,A high-pitched sound.,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f9f68023ef0> JSON: {
  "" D"": -12.651844,
  ""A"": -11.138811,
  ""C"": -16.862043,
  ""D"": -1.8073477e-05,
  ""d"": -14.804035
}]","Stridor is a high-pitched, wheezing sound that is caused by an obstruction in the airway. It is usually heard when a person is breathing in, and can be a sign of a serious medical condition.",baseline
What is cardiac output?,Stroke volume × heart rate.,Systemic vascular resistance × heart rate.,Blood pressure × heart rate.,Preload × stroke volume.,A,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f9f680234a0> JSON: {
  "" A"": -12.0725975,
  ""A"": -6.2699432e-06,
  ""B"": -20.776703,
  ""D"": -20.563961,
  ""a"": -14.319025
}]","Cardiac output is the amount of blood pumped by the heart in one minute and is calculated by multiplying the stroke volume (the amount of blood pumped out of the heart with each beat) by the heart rate (the number of beats per minute). Therefore, the correct answer is (A) Stroke volume × heart rate.",baseline
Which of the following is true about the assessment of gait?,A stamping gait is caused by bilateral foot drop,An antalgic gait is caused by a painful leg,A waddling gait is sometimes called a steppage gait,An apraxic gait is due to hysteria,B,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f9f680239f0> JSON: {
  "" C"": -10.051579,
  ""A"": -3.5804129,
  ""B"": -9.864821,
  ""C"": -0.028369088,
  ""c"": -11.564877
}]","A stamping gait is caused by spasticity in the lower extremities, not bilateral foot drop. An antalgic gait is caused by pain in the leg, not the entire body. A waddling gait is sometimes called a steppage gait, which is a gait pattern characterized by a high stepping motion of the feet due to weakness or paralysis of the lower extremities. An apraxic gait is due to a neurological disorder, not hysteria. Therefore, the correct answer is (C).",baseline
What should be done after catheterization is carried out?,The patient should be thanked.,The patient should be advised when to drink.,Document catheterization in the patient's notes.,The patient should be washed.,C,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f9fa0960860> JSON: {
  "" C"": -11.766319,
  ""A"": -16.194668,
  ""C"": -8.892534e-06,
  ""D"": -15.954748,
  ""c"": -13.899729
}]","The correct answer is (C) Document catheterization in the patient's notes. After catheterization is carried out, it is important to document the procedure in the patient's notes. This includes the type of catheter used, the date and time of insertion, and any complications that may have occurred. Other steps that may be taken include thanking the patient, advising them when to drink, and washing the area where the catheter was inserted.",baseline
In a patient with chest pain which of these features is most suggestive of a myocardial infarction?,Very severe pain,Sweating and vomiting,Pain has lasted for over a week,Pain is sharp like a knife,B,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f9fa0960310> JSON: {
  "" A"": -11.674049,
  ""A"": -9.370307e-06,
  ""B"": -18.452524,
  ""D"": -16.845642,
  ""a"": -13.872337
}]","A myocardial infarction (MI) is a type of heart attack caused by a blockage in the coronary arteries. The most common symptom of an MI is chest pain, which is usually very severe and can last for several minutes. Other symptoms may include sweating, nausea, and vomiting. Pain that has lasted for over a week is not usually associated with an MI, and pain that is sharp like a knife is not a typical symptom. Therefore, the most suggestive feature of an MI is very severe pain.",baseline
In the assessment of visual fields which of the following is true?,A lesion at the optic chiasma leads to a homonymous hemianopia,Impulses from the retinal leave the eye via the optic radiation,An enlarged blind spot may occur because of papilloedema,The visual field examination maps out a patient's central vision,C,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f9fa0960900> JSON: {
  "" A"": -11.514472,
  ""A"": -1.4974988e-05,
  ""B"": -17.0545,
  ""C"": -13.899998,
  ""a"": -12.429942
}]","A lesion at the optic chiasma leads to a homonymous hemianopia, which is a loss of vision in the same half of the visual field in both eyes. Impulses from the retinal leave the eye via the optic nerve, not the optic radiation. An enlarged blind spot may occur because of papilloedema, which is swelling of the optic disc. The visual field examination maps out a patient's peripheral vision, not their central vision.",baseline
Who set the world record for the mile race in 1886?,R Bannister,S Coe,J DiMaggio,WG George,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f9fa0960130> JSON: {
  "" D"": -10.910759,
  ""A"": -14.089481,
  ""B"": -16.957808,
  ""D"": -2.1291178e-05,
  ""d"": -12.987571
}]",The world record for the mile race in 1886 was set by William George (WG) George.,baseline
What is erythema?,Inflammation of the sweat glands.,Redness of the skin due to congestion of the capillaries.,A form of skin infection.,Redness of the skin caused by pressure.,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9fa0960220> JSON: {
  "" B"": -12.321986,
  ""A"": -18.6401,
  ""B"": -5.197998e-06,
  ""C"": -18.645535,
  ""b"": -13.993715
}]","Erythema is a medical term for redness of the skin due to congestion of the capillaries. It is usually caused by increased blood flow to the area, which can be due to inflammation, allergies, or other conditions.",baseline
"When branched chain amino acids are deaminated in muscle, the ammonia produced is mostly:",converted into arginine and released from the muscle.,converted into alanine and glutamine and released from the muscle.,converted into urea and released from the muscle.,used to synthesise purines and pyrimidines in the muscle.,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9fa0960a90> JSON: {
  "" B"": -11.706656,
  ""A"": -15.999073,
  ""B"": -1.3661821e-05,
  ""C"": -12.759768,
  ""b"": -12.912215
}]","When branched chain amino acids are deaminated in muscle, the ammonia produced is mostly converted into alanine and glutamine and released from the muscle. Alanine is then transported to the liver, where it is converted back into glucose, while glutamine is used to synthesise purines and pyrimidines in the muscle.",baseline
Which of the following is true regarding the examination of the legs?,Sustained clonus occurs with hypotonia,Clonus can only be demonstrated at the ankle,"The root value of hip flexion is L4, L5",The root value of toe extension is L5,D,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9f68012270> JSON: {
  "" B"": -9.311147,
  ""A"": -5.0010996,
  ""B"": -0.031243749,
  ""C"": -10.103919,
  ""D"": -3.7342942
}]","Clonus can only be demonstrated at the ankle. Sustained clonus occurs with hypertonia, not hypotonia. The root value of hip flexion is L2, L3, and the root value of toe extension is L4.",baseline
The energy for all forms of muscle contraction is provided by:,ATP.,ADP.,phosphocreatine.,oxidative phosphorylation.,A,clinical_knowledge,dev,A,"[<OpenAIObject at 0x7f9fa096a090> JSON: {
  "" A"": -12.314364,
  ""<|endoftext|>"": -20.507841,
  ""A"": -6.5092986e-06,
  ""B"": -19.50743,
  ""a"": -13.080705
}]","The energy for all forms of muscle contraction is provided by ATP (adenosine triphosphate). ATP is a molecule that stores energy and is used by cells to power their metabolic processes. ADP (adenosine diphosphate) is a molecule that is produced when ATP is broken down, and phosphocreatine is a molecule that helps to regenerate ATP. Oxidative phosphorylation is a process by which cells produce ATP.",baseline
