question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justification,method
Type I muscle fibres have the following characteristics:,"white, glycolytic, slow contracting.","white, oxidative, slow contracting.","red, oxidative, fast contracting.","red, oxidative, slow contracting.",D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f8c80091810> JSON: {
  "" D"": -9.8356905,
  ""A"": -13.825044,
  ""C"": -13.407802,
  ""D"": -5.9321566e-05,
  ""d"": -12.79231
}]","
Type I muscle fibres are also known as slow twitch fibres. 
Slow twitch fibres are usually red in colour and are oxidative, meaning they use oxygen to generate energy. 
Therefore, the correct answer is (D) red, oxidative, slow contracting.",scratchpad
Mr Wood has just returned from surgery and has severe internal bleeding. Which of the following observations would you NOT expect to find on undertaking post-operative observations?,Hypotension.,Bradycardia.,Confusion,Tachypnoea.,B,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f8c80091860> JSON: {
  "" C"": -9.778417,
  ""A"": -14.127085,
  ""C"": -6.408898e-05,
  ""D"": -14.31633,
  ""c"": -12.1202965
}]","

Hypotension, bradycardia, and tachypnoea are all common signs of internal bleeding. Therefore, the correct answer is (C) Confusion.",scratchpad
Which of the following represents Cushing's response?,"Low blood pressure, tachycardia.","High blood pressure, tachycardia.","Low blood pressure, bradycardia.","High blood pressure, bradycardia.",D,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f8c80091cc0> JSON: {
  "" B"": -9.815834,
  ""A"": -14.195265,
  ""Answer"": -13.049749,
  ""B"": -6.122609e-05,
  ""b"": -12.691467
}]"," Cushing's response is a medical condition that is characterized by high blood pressure and tachycardia. Therefore, the correct answer is (B) High blood pressure, tachycardia.",scratchpad
How many 'true' movements are available at the hip?,4,5,6,7,C,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f8c80091590> JSON: {
  "" C"": -10.319788,
  ""A"": -14.123811,
  ""Answer"": -14.905375,
  ""C"": -4.179789e-05,
  ""c"": -11.826487
}]","

The hip joint is a ball and socket joint, which means it has the ability to move in multiple directions. The movements available at the hip are flexion, extension, abduction, adduction, internal rotation, and external rotation. Therefore, the correct answer is (C) 6.",scratchpad
"For patients with asthma, how many times a day should a peak flow reading be taken?",Daily.,Twice a day.,Three times a week.,Once a week.,B,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f8c80091bd0> JSON: {
  "" A"": -10.5377445,
  ""A"": -2.7013197e-05,
  ""Answer"": -15.64885,
  ""B"": -17.45749,
  ""a"": -14.62831
}]","

Asthma is a chronic condition that can cause difficulty breathing. Therefore, it is important to monitor the patient's breathing regularly. 

The best answer is (A) Daily. Taking a peak flow reading daily will help the patient and their doctor monitor their breathing and make sure it is under control.",scratchpad
Which of the following is incorrect?,Dentures should be removed at night.,Dentures should be cleaned on removal from mouth.,Dentures should be stored in a named pot.,Dentures should be stored dry.,D,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f8c80091c70> JSON: {
  "" A"": -11.272847,
  ""A"": -1.3422466e-05,
  ""Answer"": -16.9044,
  ""C"": -16.168215,
  ""a"": -14.34388
}]","
A) Dentures should be removed at night - Correct
B) Dentures should be cleaned on removal from mouth - Correct
C) Dentures should be stored in a named pot - Correct
D) Dentures should be stored dry - Correct

Therefore, the answer is (A) Dentures should be removed at night.",scratchpad
Why might you choose to use a silicone catheter (as of 2020 medical knowledge)?,Because the patient does not like the others.,Because the patient is allergic to latex.,Because there are no other kinds of catheter at your disposal.,Because it is cheaper.,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f8c80091900> JSON: {
  "" B"": -8.970262,
  ""A"": -15.023657,
  ""Answer"": -13.816936,
  ""B"": -0.00013538517,
  ""b"": -11.969715
}]","

(B) Because the patient is allergic to latex. 
This is the correct answer, as silicone catheters are a good alternative for those who are allergic to latex.",scratchpad
The recommended dose of creatine to load the muscles of a 70 kg man within one week is:,2 g/day.,5 g/day.,10 g/day.,20 g/day.,D,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f8c700148b0> JSON: {
  "" B"": -10.0822525,
  ""Answer"": -14.419774,
  ""B"": -4.7875652e-05,
  ""C"": -13.763463,
  ""b"": -12.484332
}]","

The recommended dose of creatine to load the muscles of a 70 kg man within one week is:
(B) 5 g/day.",scratchpad
The coding sequences of genes are called:,extrons.,exons.,introns.,codons.,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f8c80091ef0> JSON: {
  "" B"": -10.631588,
  ""A"": -15.421039,
  ""Answer"": -14.717795,
  ""B"": -2.7611111e-05,
  ""b"": -12.8055935
}]","

Genes are the basic units of heredity, and they contain the instructions for making proteins. 

The coding sequences of genes are the parts of the gene that contain the instructions for making proteins. 

Therefore, the correct answer is (B) exons.",scratchpad
Which of the following is true with regards to the anatomy involved in the rectal examination?,The sacrum is palpated anteriorly,The pubic bone is palpated anteriorly in both sexes,In the male the testes can be appreciated anteriorly,The cervix can sometimes be felt anteriorly in the female,D,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f8c70014c70> JSON: {
  "" A"": -10.672932,
  ""A"": -2.7013197e-05,
  ""Answer"": -15.235101,
  ""B"": -16.256516,
  ""a"": -12.5502205
}]","

The rectal examination is an examination of the rectum, which is located in the posterior part of the body. Therefore, the answer is (A) The sacrum is palpated anteriorly.",scratchpad
Using a large volume spacer will improve the deposition of medication by:,10-15%,40-60%,99-100%,30-40%,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f8c70034c70> JSON: {
  "" B"": -10.062054,
  ""A"": -15.710121,
  ""Answer"": -13.929901,
  ""B"": -5.1810483e-05,
  ""b"": -11.757309
}]","

A large volume spacer is a device used to help deliver medication to the lungs more effectively. It works by creating a larger volume of air for the medication to be dispersed in, which increases the amount of medication that reaches the lungs.

Therefore, the correct answer is (B) 40-60%.",scratchpad
Which one of the following is not a use for intravenous infusions?,Administer prescribed intravenous fluid.,Administer dyes or contrast media for radiographic examinations.,Administer prescribed blood products.,To orally hydrate a patient.,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f8c70034310> JSON: {
  "" D"": -7.289953,
  ""A"": -8.081623,
  ""Answer"": -10.734,
  ""D"": -0.0010512155,
  ""d"": -10.688171
}]","

A) Administer prescribed intravenous fluid - Correct
B) Administer dyes or contrast media for radiographic examinations - Correct
C) Administer prescribed blood products - Correct
D) To orally hydrate a patient - Incorrect

Answer: D) To orally hydrate a patient",scratchpad
"During exercise, adrenaline secretion from the adrenal glands is stimulated by:",increased plasma glucose.,increased plasma fatty acids.,increased plasma ACTH.,increased sympathetic nerve activity.,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f8c70034e00> JSON: {
  "" D"": -9.605248,
  ""A"": -14.948595,
  ""Answer"": -14.680354,
  ""D"": -7.1958624e-05,
  ""d"": -12.527199
}]","

Adrenaline is a hormone secreted by the adrenal glands. During exercise, the body needs to respond to the increased physical activity. 

The correct answer is (D) increased sympathetic nerve activity.",scratchpad
Which of the following is true of blackouts and dizziness?,Confusion following a blackout is strongly suggestive of a fit,Pre-syncope is another term for a blackout,An epileptic fit always leads to the loss of consciousness,In the investigation of a blackout a blood sugar estimation is of no value,A,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f8c70034220> JSON: {
  "" B"": -10.631644,
  ""A"": -14.720482,
  ""Answer"": -14.96278,
  ""B"": -2.6180607e-05,
  ""b"": -13.507112
}]","

Confusion following a blackout is not necessarily indicative of a fit, so (A) is incorrect. 

Pre-syncope is a term for a feeling of lightheadedness or dizziness that can lead to a blackout, so (B) is correct. 

An epileptic fit does not always lead to the loss of consciousness, so (C) is incorrect. 

In the investigation of a blackout, a blood sugar estimation can be of value, so (D) is incorrect. 

The correct answer is (B).",scratchpad
Which of the following is true about abdominal pain?,Peptic ulcer pain is usually experienced in the hypogastrium,The pain of irritable bowel syndrome is usually well localised,The pain of oesophagitis is usually retrosternal in site,The pain of pancreatitis usually radiates to the groin,C,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f8c80091d60> JSON: {
  "" A"": -9.093235,
  ""A"": -0.000114638155,
  ""All"": -14.718552,
  ""Answer"": -16.218708,
  ""a"": -13.288668
}]","

A) Peptic ulcer pain is usually experienced in the hypogastrium - TRUE

B) The pain of irritable bowel syndrome is usually well localised - TRUE

C) The pain of oesophagitis is usually retrosternal in site - TRUE

D) The pain of pancreatitis usually radiates to the groin - TRUE

Therefore, the correct answer is A, B, C, and D.",scratchpad
The following are features of Alzheimer's disease except:,short-term memory loss.,confusion.,poor attention.,drowsiness.,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f8c80091680> JSON: {
  "" D"": -8.950764,
  ""A"": -12.986013,
  ""Answer"": -12.851271,
  ""D"": -0.000139794,
  ""d"": -12.275545
}]","

Alzheimer's disease is a progressive neurological disorder that affects memory, thinking, and behavior. It is characterized by memory loss, confusion, difficulty with problem-solving, and changes in personality.

Therefore, the correct answer is D) drowsiness.",scratchpad
Which of the following is true about radial nerve palsy?,The radial nerve arises from the lateral cord of the brachial plexus,It is associated with sensory loss over the medial half of the hand,It leads to wrist drop,It can occur due to a superficial laceration over the wrist,C,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f8c80098630> JSON: {
  "" A"": -10.796478,
  ""A"": -2.7728449e-05,
  ""Answer"": -16.00001,
  ""C"": -16.282864,
  ""a"": -11.884688
}]","

The radial nerve arises from the lateral cord of the brachial plexus, so the correct answer is (A). 
Radial nerve palsy is associated with wrist drop, so the correct answer is (C). 
It can occur due to a superficial laceration over the wrist, so the correct answer is (D). 
Sensory loss over the medial half of the hand is not associated with radial nerve palsy, so the correct answer is not (B).",scratchpad
How can several different proteins be produced from the same gene?,By selective transcription of different parts of the DNA in the gene.,By doubling or tripling the length of the mRNA molecule produced from the primary transcript.,"The primary transcripts of many genes can be spliced in various ways to produce different mRNAs, a process known as alternative RNA splicing.",By splicing of the mRNA molecule after it has been formed from the primary transcript.,C,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f8c80098770> JSON: {
  "" C"": -10.451055,
  ""A"": -14.777993,
  ""Answer"": -13.518668,
  ""C"": -3.8935006e-05,
  ""c"": -11.7867985
}]","

First, the gene is transcribed into a primary transcript. 

Then, the primary transcript is spliced in various ways to produce different mRNAs, a process known as alternative RNA splicing. 

Finally, the mRNA molecule is translated into a protein. 

Therefore, the correct answer is (C) The primary transcripts of many genes can be spliced in various ways to produce different mRNAs, a process known as alternative RNA splicing.",scratchpad
How long can a long-term catheter stay in situ?,4 weeks.,7 weeks.,12 weeks.,20 weeks.,C,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f8c80091a90> JSON: {
  "" C"": -9.756373,
  ""Answer"": -13.777212,
  ""C"": -6.170386e-05,
  ""D"": -15.495541,
  ""c"": -13.06823
}]","

A) 4 weeks.
B) 7 weeks.
C) 12 weeks.
D) 20 weeks.

Answer: C) 12 weeks.",scratchpad
Stridor is described as:,A wheezing sound.,A gurgling sound.,A rattling sound.,A high-pitched sound.,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f8c800984f0> JSON: {
  "" D"": -10.079598,
  ""A"": -14.309176,
  ""Answer"": -14.675793,
  ""D"": -4.5255874e-05,
  ""d"": -13.126522
}]","

Stridor is a type of sound, so we can eliminate choices B and C. 

A wheezing sound is usually associated with asthma, so we can eliminate choice A. 

That leaves us with choice D: A high-pitched sound.",scratchpad
What is cardiac output?,Stroke volume × heart rate.,Systemic vascular resistance × heart rate.,Blood pressure × heart rate.,Preload × stroke volume.,A,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f8c80091630> JSON: {
  "" A"": -10.944518,
  ""A"": -1.843017e-05,
  ""Answer"": -16.037956,
  ""B"": -18.70843,
  ""a"": -14.107019
}]","
Cardiac output is the amount of blood pumped by the heart in one minute. 
So, it would be the product of two factors: 
(A) Stroke volume × heart rate.",scratchpad
Which of the following is true about the assessment of gait?,A stamping gait is caused by bilateral foot drop,An antalgic gait is caused by a painful leg,A waddling gait is sometimes called a steppage gait,An apraxic gait is due to hysteria,B,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f8c80091950> JSON: {
  "" "": -18.056839,
  "" A"": -10.303094,
  ""A"": -3.941184e-05,
  ""Answer"": -17.332283,
  ""a"": -12.043332
}]","
A stamping gait is caused by bilateral foot drop - (A) is correct.
An antalgic gait is caused by a painful leg - (B) is correct.
A waddling gait is sometimes called a steppage gait - (C) is correct.
An apraxic gait is due to hysteria - (D) is incorrect.

The correct answer is (A), (B), and (C).",scratchpad
What should be done after catheterization is carried out?,The patient should be thanked.,The patient should be advised when to drink.,Document catheterization in the patient's notes.,The patient should be washed.,C,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f8c70034db0> JSON: {
  "" C"": -10.355798,
  ""A"": -14.159797,
  ""Answer"": -14.183998,
  ""C"": -3.762558e-05,
  ""c"": -12.429341
}]","

After catheterization is carried out, the first step should be to document the catheterization in the patient's notes. Therefore, the correct answer is (C) Document catheterization in the patient's notes.",scratchpad
In a patient with chest pain which of these features is most suggestive of a myocardial infarction?,Very severe pain,Sweating and vomiting,Pain has lasted for over a week,Pain is sharp like a knife,B,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f8c80091b80> JSON: {
  "" A"": -11.384504,
  ""A"": -1.2468796e-05,
  ""Answer"": -17.076862,
  ""B"": -19.582813,
  ""a"": -13.642968
}]","
A myocardial infarction is a type of heart attack. So, the feature that is most suggestive of a myocardial infarction would be a symptom that is associated with a heart attack. 

The answer is (A) Very severe pain.",scratchpad
In the assessment of visual fields which of the following is true?,A lesion at the optic chiasma leads to a homonymous hemianopia,Impulses from the retinal leave the eye via the optic radiation,An enlarged blind spot may occur because of papilloedema,The visual field examination maps out a patient's central vision,C,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f8c70034ae0> JSON: {
  ""\n"": -18.17659,
  "" A"": -10.5609665,
  ""A"": -2.7013197e-05,
  ""Answer"": -17.696901,
  ""a"": -13.598812
}]","

A lesion at the optic chiasma leads to a homonymous hemianopia - this is correct, so the answer is (A). 

Impulses from the retinal leave the eye via the optic radiation - this is also correct, so the answer is (B). 

An enlarged blind spot may occur because of papilloedema - this is correct, so the answer is (C). 

The visual field examination maps out a patient's central vision - this is incorrect, so the answer is not (D). 

The correct answer is (A), (B), and (C).",scratchpad
Who set the world record for the mile race in 1886?,R Bannister,S Coe,J DiMaggio,WG George,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f8c70022ea0> JSON: {
  "" D"": -9.055977,
  ""A"": -10.757536,
  ""Answer"": -12.372068,
  ""D"": -0.0001492143,
  ""d"": -12.003023
}]","

R Bannister and S Coe are both runners, but they set their records in the 1950s. 

J DiMaggio is a baseball player, so he is not the correct answer. 

That leaves us with WG George, who set the world record for the mile race in 1886. 

Answer: D - WG George",scratchpad
What is erythema?,Inflammation of the sweat glands.,Redness of the skin due to congestion of the capillaries.,A form of skin infection.,Redness of the skin caused by pressure.,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f8c80091db0> JSON: {
  "" B"": -9.4812975,
  ""A"": -15.671542,
  ""Answer"": -13.927158,
  ""B"": -7.8752586e-05,
  ""b"": -13.491163
}]","

Inflammation of the sweat glands (A) is not related to erythema.
Redness of the skin due to congestion of the capillaries (B) is the correct answer.
A form of skin infection (C) is not related to erythema.
Redness of the skin caused by pressure (D) is not related to erythema.

Answer: B",scratchpad
"When branched chain amino acids are deaminated in muscle, the ammonia produced is mostly:",converted into arginine and released from the muscle.,converted into alanine and glutamine and released from the muscle.,converted into urea and released from the muscle.,used to synthesise purines and pyrimidines in the muscle.,B,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f8c70022720> JSON: {
  "" B"": -10.005178,
  ""A"": -13.884985,
  ""B"": -5.157113e-05,
  ""C"": -13.995036,
  ""b"": -12.66449
}]","

Branched chain amino acids are deaminated in muscle. This means that the amine group is removed from the amino acid. 

The ammonia produced from this process is not used to synthesise purines and pyrimidines in the muscle, so the answer is not (D). 

The ammonia produced is not converted into arginine and released from the muscle, so the answer is not (A). 

The ammonia produced is converted into alanine and glutamine and released from the muscle, so the answer is (B).",scratchpad
Which of the following is true regarding the examination of the legs?,Sustained clonus occurs with hypotonia,Clonus can only be demonstrated at the ankle,"The root value of hip flexion is L4, L5",The root value of toe extension is L5,D,clinical_knowledge,val,A,"[<OpenAIObject at 0x7f8c800917c0> JSON: {
  ""\n"": -17.346155,
  "" A"": -9.659649,
  ""A"": -6.718934e-05,
  ""Answer"": -14.777225,
  ""a"": -12.707887
}]","

Sustained clonus occurs with hypotonia, so the correct answer is (A). Clonus can be demonstrated at the ankle, knee, and hip, so (B) is incorrect. The root value of hip flexion is L2, L3, so (C) is incorrect. The root value of toe extension is L5, so (D) is the correct answer. 

Answer: A, D",scratchpad
