question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justification
Which of the following is not an abnormal breathing pattern seen in head injury and altered conscious level?,Cheyne-Stokes respiration.,Anaerobic respiration.,Hyperventilation.,Ataxic breathing.,B,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b02590> JSON: {
  "" B"": -12.804794,
  ""A"": -15.03452,
  ""Answer"": -18.19029,
  ""B"": -3.7684315e-06,
  ""b"": -13.979263
}]","Anaerobic respiration is a normal type of respiration that occurs in the body when oxygen is not available. Cheyne-Stokes respiration, hyperventilation, and ataxic breathing are all abnormal breathing patterns seen in head injury and altered conscious level."
Which of the following is true of hepatomegaly?,Emphysema is a cause,The liver enlarges downwards from the left hypochondrium,"The presence of jaundice, spider naevi and purpura suggest alcohol as a cause",The liver is usually resonant to percussion,C,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b027c0> JSON: {
  "" B"": -11.023687,
  ""B"": -2.3556138e-05,
  ""C"": -17.779259,
  ""D"": -12.804407,
  ""b"": -12.315992
}]","Hepatomegaly is an enlargement of the liver, which can be caused by a variety of conditions. It is usually detected by physical examination, where the liver can be palpated in the left hypochondrium. The liver is usually firm to palpation, and may be resonant to percussion. Jaundice, spider naevi and purpura can suggest alcohol as a cause, but emphysema is not a cause of hepatomegaly."
Who is the publication Your guide to the NHS written for?,GPs.,Patient lobby groups.,The general public.,Patients admitted to hospital.,C,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b02a40> JSON: {
  "" C"": -12.888018,
  ""A"": -17.619919,
  ""C"": -3.6482897e-06,
  ""D"": -15.398447,
  ""c"": -13.827398
}]","The publication Your guide to the NHS is written for the general public, so the correct answer is (C)."
Which of these features suggest that a crackling sound is more likely due to a pleural friction rub than crackles?,More prominent in expiration,Alters with coughing,No pain over the area,Clubbing,A,clinical_knowledge,test,A,"[<OpenAIObject at 0x7f9839b18c20> JSON: {
  "" A"": -12.182158,
  ""A"": -0.00047255142,
  ""B"": -7.6721654,
  ""C"": -14.023003,
  ""a"": -14.076228
}]",A pleural friction rub is a crackling sound that is more prominent during expiration and can be altered with coughing. It is usually associated with pain over the area. Clubbing is not a feature of a pleural friction rub.
Creatine is synthesized from:,amino acids in the muscles.,amino acids in the liver.,amino acids in the kidneys.,creatinine in the kidneys.,B,clinical_knowledge,test,A,"[<OpenAIObject at 0x7f9839b18900> JSON: {
  "" A"": -10.928794,
  ""A"": -0.006636821,
  ""B"": -5.0216894,
  ""D"": -13.295324,
  ""a"": -14.0826435
}]","Creatine is synthesized from amino acids in the muscles. It is then transported to the liver and kidneys, where it is converted into creatinine."
A hypertonic solution is:,a solution that has a higher concentration of solutes than the normal human cell.,a solution that blocks off enteral tubes easily.,a solution that has a lower concentration of solutes than the normal human cell.,a solution with a high fibre content.,A,clinical_knowledge,test,A,"[<OpenAIObject at 0x7f9839b18ef0> JSON: {
  "" A"": -11.5148115,
  ""A"": -1.0920954e-05,
  ""B"": -19.1703,
  ""C"": -19.176052,
  ""a"": -13.869796
}]","A hypertonic solution is a solution that has a higher concentration of solutes than the normal human cell. This means that the solutes in the solution are more concentrated than the solutes in the cell, causing the cell to shrink as water is drawn out of it."
Which of the following is true of the spine?,Back pain is an uncommon complaint,Schober's test is designed to quantify the flexion of the lumbar spine,Ankylosing spondylitis is a cause of hypermobility of the spine,Pregnancy is a cause of loss of lordosis of the lumbar spine,B,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b18630> JSON: {
  "" B"": -11.183455,
  ""B"": -1.6521892e-05,
  ""C"": -16.367168,
  ""D"": -13.853043,
  ""b"": -13.407983
}]","
The correct answer is (B) Schober's test is designed to quantify the flexion of the lumbar spine. Schober's test is a physical examination used to measure the flexibility of the lumbar spine. It is used to assess the degree of lordosis, or curvature, of the lumbar spine. Back pain is a common complaint, and ankylosing spondylitis is a cause of decreased mobility of the spine. Pregnancy can cause an increase in lordosis of the lumbar spine."
Which of the following is true about an abdominal mass?,A pulsatile mass is always due to an aortic aneurysm,An enlarged kidney is dull to percussion,A large mass arising out of the pelvis which disappears following urethral catheterization is caused by an ovarian cyst,An indentible mass is caused by faecal loading of the colon,D,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b189a0> JSON: {
  "" C"": -9.982638,
  ""A"": -9.500777,
  ""B"": -5.3688154,
  ""C"": -0.1398478,
  ""D"": -2.0737581
}]","A pulsatile mass is not always due to an aortic aneurysm, as it could also be caused by a tumor or other mass. An enlarged kidney is usually dull to percussion, but not always. A large mass arising out of the pelvis which disappears following urethral catheterization is most likely caused by an ovarian cyst. An indentible mass is not necessarily caused by faecal loading of the colon, as it could also be caused by a tumor or other mass. Therefore, the correct answer is (C)."
Blood clots are responsible for repeatedly blocking a catheter. What should you do?,Call for help.,Inform medical staff.,Inform the patient.,Remove the catheter and recatheterize.,B,clinical_knowledge,test,D,"[<OpenAIObject at 0x7f9839b18680> JSON: {
  "" B"": -10.502699,
  ""A"": -2.6730957,
  ""B"": -0.9374257,
  ""C"": -9.628468,
  ""D"": -0.61765677
}]","The correct answer is (D) Remove the catheter and recatheterize. Blood clots can form in a catheter and block the flow of fluids or medications. If this occurs, the catheter should be removed and recatheterized to ensure proper flow. Calling for help, informing medical staff, and informing the patient are all important steps, but they do not address the issue of the blocked catheter."
Which of the following is incorrect?,Dentures should be removed at night.,Dentures should be cleaned on removal from mouth.,Dentures should be stored in a named pot.,Dentures should be stored dry.,D,clinical_knowledge,val,C,"[<OpenAIObject at 0x7f9839b18450> JSON: {
  "" C"": -13.015094,
  ""A"": -13.831659,
  ""B"": -14.41852,
  ""C"": -3.883893e-06,
  ""c"": -15.58817
}]",Option C is incorrect because dentures should be stored in a container filled with water or a denture cleaning solution when not in use.
"Two of the following are evident - pain at IV site, erythema, and swelling. What stage on the phlebitis scale is this and what should you do?",Stage 1 - observe cannula.,Stage 2 - re-site cannula.,Stage 3 - re-site cannula and consider treatment.,Stage 0 - do nothing.,B,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b18ae0> JSON: {
  "" B"": -10.627241,
  "" C"": -12.709862,
  ""A"": -10.278591,
  ""B"": -0.18780963,
  ""C"": -1.7651277
}]","This is Stage 2 on the phlebitis scale, which is characterized by pain, erythema, and swelling. The appropriate action is to re-site the cannula."
Your patient has diabetes. Why is this important?,These patients are more likely to bleed.,These patients are more likely to get urinary tract infections if their blood sugar is unstable.,These patients are more likely to have clear urine.,These patients are less likely to have catheter encrustation.,B,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b18540> JSON: {
  "" B"": -12.271942,
  ""A"": -16.652294,
  ""B"": -5.0778563e-06,
  ""D"": -20.996565,
  ""b"": -14.626103
}]","Diabetes can cause a variety of health problems, including an increased risk of urinary tract infections if the patient's blood sugar is unstable. The other choices are not related to diabetes."
Selective Androgen Receptor Modulators (SARMs) are:,steroid drugs that act on androgen receptors mimicking the effects of natural steroid hormones.,steroid drugs that act on androgen receptors antagonising the effects of natural steroid hormones.,non-steroid drugs that act on androgen receptors mimicking the effects of natural steroid hormones.,non-steroid drugs that act on androgen receptors inhibiting the effects of natural steroid hormones.,C,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b18810> JSON: {
  "" C"": -12.009963,
  ""A"": -13.44305,
  ""C"": -7.698572e-06,
  ""D"": -17.4529,
  ""c"": -15.517011
}]","Selective Androgen Receptor Modulators (SARMs) are non-steroid drugs that act on androgen receptors mimicking the effects of natural steroid hormones. SARMs are designed to selectively target androgen receptors in certain tissues, such as muscle and bone, while avoiding other tissues, such as the prostate. This allows them to provide the beneficial effects of anabolic steroids without the unwanted side effects."
Which of the following is true about the rectal examination?,If the patient refuses a chaperone the doctor can overrule them,The rectal examination is of no value in a neurological examination,The optimum position of the patient is on their right side with their knees extended,The rectal examination is indicated for the assessment of some gastrointestinal disorders,D,clinical_knowledge,test,D,"[<OpenAIObject at 0x7f9839b18270> JSON: {
  "" D"": -11.401547,
  ""B"": -18.534233,
  ""C"": -15.250169,
  ""D"": -1.1991961e-05,
  ""d"": -14.264667
}]","The rectal examination is indicated for the assessment of some gastrointestinal disorders, such as rectal bleeding, rectal prolapse, and fecal impaction. It is also used to assess the size and consistency of the prostate in men. If the patient refuses a chaperone, the doctor must respect their wishes. The optimum position of the patient is on their left side with their knees flexed. The rectal examination can also be of value in a neurological examination, as it can help to assess the tone and strength of the anal sphincter."
Which of the following is true of the assessment of power in the arms?,Grade 3/5 (MRC scale) represents movement of the arm only when gravity is eliminated,Flexion at the elbow is produced by the triceps muscle,The root value of shoulder abduction is C5,Grade 1/5 power represents no movement or muscle contraction,C,clinical_knowledge,test,D,"[<OpenAIObject at 0x7f9839b18d60> JSON: {
  "" D"": -10.493646,
  ""A"": -5.9555483,
  ""B"": -13.35263,
  ""D"": -0.0026299527,
  ""d"": -12.210238
}]","Grade 1/5 power represents no movement or muscle contraction. Grade 3/5 (MRC scale) represents movement of the arm against gravity but not against resistance. Flexion at the elbow is produced by the biceps muscle, not the triceps muscle. The root value of shoulder abduction is C4."
Which of the following is true about possible rectal findings?,The finding of a palpable median groove in the prostate is an adverse finding,Impacted faeces can sometimes be mistaken for a rectal tumour,A thrombosed haemorrhoid is painless,Peri-anal warts can only be demonstrated on proctoscopy,B,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b18db0> JSON: {
  "" B"": -10.220681,
  ""A"": -15.390478,
  ""B"": -3.941184e-05,
  ""C"": -16.16597,
  ""b"": -12.803152
}]",B is the correct answer because impacted faeces can sometimes be mistaken for a rectal tumour. A is incorrect because the finding of a palpable median groove in the prostate is not an adverse finding. C is incorrect because a thrombosed haemorrhoid is usually painful. D is incorrect because peri-anal warts can be seen on inspection and do not require proctoscopy for diagnosis.
Which of the following is true of psoriatic arthropathy?,The absence of plaques of psoriasis excludes the diagnosis,The diagnosis can be confirmed by a blood marker,Tophi can sometimes be seen over affected joints,Nail pitting may give a clue to the diagnosis,D,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b188b0> JSON: {
  "" C"": -10.976645,
  ""A"": -10.897696,
  ""C"": -0.00040045741,
  ""D"": -7.9228396,
  ""c"": -13.092115
}]","Psoriatic arthropathy is a type of arthritis associated with psoriasis. It is characterized by inflammation of the joints and can cause pain, swelling, and stiffness. The diagnosis of psoriatic arthropathy can be confirmed by physical examination, which may reveal joint swelling, tenderness, and limited range of motion. Tophi, which are deposits of uric acid crystals, can sometimes be seen over affected joints, and nail pitting may give a clue to the diagnosis. The absence of plaques of psoriasis does not exclude the diagnosis. There is no specific blood marker for psoriatic arthropathy. Therefore, the correct answer is (C) Tophi can sometimes be seen over affected joints."
What is the purpose of the cuff on a tracheostomy tube?,To create an air seal within the trachea and reduce the risk of aspirating saliva or gastric contents.,To reduce local oedema.,To assist with swallowing.,To allow the patient to talk.,A,clinical_knowledge,test,A,"[<OpenAIObject at 0x7f9839b18b80> JSON: {
  "" A"": -12.105557,
  ""A"": -5.79217e-06,
  ""B"": -21.752142,
  ""D"": -20.849464,
  ""a"": -14.701063
}]","The cuff on a tracheostomy tube is designed to create an air seal within the trachea and reduce the risk of aspirating saliva or gastric contents. The cuff also helps to prevent air leakage around the tube and helps to maintain an adequate airway. It does not reduce local oedema, assist with swallowing, or allow the patient to talk."
The low intake of carbohydrate in the diet:,does not influence exercise performance in events lasting less than 10 minutes.,affects the resting muscle pH.,may impair high intensity exercise performance.,results in greater reliance on muscle glycogen during exercise.,C,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b189f0> JSON: {
  "" C"": -11.373892,
  ""B"": -14.869614,
  ""C"": -1.6282536e-05,
  ""D"": -12.789616,
  ""c"": -13.473264
}]","Low carbohydrate intake can impair high intensity exercise performance due to the decreased availability of glucose for energy production. This can result in greater reliance on muscle glycogen during exercise, as well as an altered resting muscle pH. However, it does not necessarily affect exercise performance in events lasting less than 10 minutes."
How often should a cannula be flushed?,Every 4 hours.,Every 8 hours.,Every 12 hours.,Every 16 hours.,C,clinical_knowledge,test,A,"[<OpenAIObject at 0x7f9839b02c70> JSON: {
  "" A"": -11.068994,
  ""A"": -0.0005519829,
  ""B"": -7.6650224,
  ""C"": -10.724647,
  ""D"": -10.009458
}]",A cannula should be flushed every 4 hours to ensure that it remains clear and free of any blockages. This helps to ensure that the cannula is able to deliver medication and other fluids as needed.
The process of translation requires the presence of:,"mRNA, tRNA and ribosomes.","mRNA, ribosomes and RNA polymerase.","DNA, mRNA and RNA polymerase.","chromatin, DNA and amino acids.",A,clinical_knowledge,test,A,"[<OpenAIObject at 0x7f9839b1a950> JSON: {
  "" A"": -11.29806,
  ""A"": -1.3661821e-05,
  ""B"": -17.624907,
  ""C"": -19.182564,
  ""a"": -13.532931
}]","The process of translation requires the presence of mRNA, tRNA and ribosomes. mRNA carries the genetic code from the nucleus to the ribosomes, where tRNA molecules bring the appropriate amino acids to the ribosomes. The ribosomes then assemble the amino acids into a protein according to the instructions encoded in the mRNA."
Which of the following is thought to be implicated in the development of peripheral muscle fatigue during multiple sprint activities?,An accumulation of inorganic phosphate.,Development of hyperosmolality in the muscles.,An excess of antioxidants.,A lack of potassium.,A,clinical_knowledge,test,A,"[<OpenAIObject at 0x7f9839b1a4a0> JSON: {
  "" A"": -12.378545,
  ""A"": -6.5092986e-06,
  ""B"": -20.639347,
  ""D"": -20.88784,
  ""a"": -12.952966
}]","Peripheral muscle fatigue during multiple sprint activities is thought to be caused by an accumulation of inorganic phosphate in the muscles, which leads to a decrease in the ability of the muscles to produce energy. This is due to the depletion of ATP, which is the primary source of energy for muscle contraction."
The blood glucose concentration during 80-90 minutes of intermittent high intensity exercise:,frequently rises by 1 - 3 mM.,remains relatively unchanged.,frequently falls by 1 - 3 mM.,falls to hypoglycaemic levels.,A,clinical_knowledge,test,A,"[<OpenAIObject at 0x7f9839b1a270> JSON: {
  "" A"": -10.389073,
  ""A"": -0.0006916062,
  ""B"": -7.362199,
  ""C"": -10.650767,
  ""a"": -13.090104
}]","The blood glucose concentration during 80-90 minutes of intermittent high intensity exercise typically rises by 1 - 3 mM. This is due to the increased demand for energy during exercise, which causes the body to break down glucose for energy."
Which of the following is true about Addisons Disease?,It is due to a deficiency of prolactin hormone,Leads to generalized pigmentation,It is a recognized cause of hypertension,Diabetes is a complication,B,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b1a310> JSON: {
  "" B"": -11.463054,
  ""A"": -18.287508,
  ""B"": -1.7475562e-05,
  ""C"": -15.727535,
  ""b"": -11.884346
}]","Addisons Disease is a disorder of the adrenal glands that leads to a deficiency of cortisol and aldosterone hormones. It is characterized by generalized pigmentation, fatigue, weight loss, and hypotension. It is also a recognized cause of hypertension, but diabetes is not a complication."
Which of the following is true about a thyroid swelling?,It always elevates on swallowing,Lymph node enlargement is a good prognostic sign,An ultrasound of the swelling is the best test to determine whether the nodule is actively secreting hormone,A functioning nodule on isotope scanning is unlikely to be due to cancer,D,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b1a0e0> JSON: {
  "" C"": -9.739518,
  ""A"": -12.140164,
  ""C"": -0.0013956167,
  ""D"": -6.628602,
  ""c"": -11.746749
}]","A thyroid swelling, or nodule, can be caused by a variety of conditions, including cancer. An ultrasound of the swelling is the best test to determine whether the nodule is actively secreting hormone, as this can help to identify whether the nodule is benign or malignant. Swallowing does not necessarily cause the swelling to elevate, and lymph node enlargement is not necessarily a good prognostic sign. A functioning nodule on isotope scanning is not necessarily unlikely to be due to cancer, as it could still be a sign of a malignant tumor."
When assessing a patient's breathing:,always remove dentures.,look for chest movements and use a mirror to check for exhaled air.,"look for chest movements, listen for breath sounds, and feel for exhaled air on your cheek.",assess for 30 seconds.,C,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b1a900> JSON: {
  "" C"": -12.008222,
  ""B"": -14.139574,
  ""C"": -6.9861335e-06,
  ""D"": -18.737722,
  ""c"": -15.046102
}]","The correct answer is (C). When assessing a patient's breathing, you should look for chest movements, listen for breath sounds, and feel for exhaled air on your cheek. You should not always remove dentures, nor should you assess for 30 seconds."
Kinase reactions:,inhibit ATP breakdown.,involve the addition or removal of a phosphate group.,involve the addition or removal of a ketone group.,involve the addition or removal of an amino acid to a polypeptide chain.,B,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b1a220> JSON: {
  "" B"": -12.325523,
  ""A"": -18.564735,
  ""B"": -5.912312e-06,
  ""C"": -19.928719,
  ""b"": -13.377541
}]",Kinase reactions involve the addition or removal of a phosphate group to or from a molecule. This process is used to regulate the activity of proteins and other molecules in cells.
Which of the following is true about haemorrhoids?,Bleeding haemorrhoids lead to melaena per rectum (PR),Pregnancy is a predisposing factor in causing haemorrhoids,Bleeding from first degree haemorrhoids is associated with pain,Second degree haemorrhoids cannot be returned to the anal canal,B,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b1ae00> JSON: {
  "" B"": -10.064646,
  ""A"": -6.3784666,
  ""B"": -0.0017459276,
  ""a"": -15.499576,
  ""b"": -12.458643
}]","B) Pregnancy is a predisposing factor in causing haemorrhoids. Haemorrhoids are swollen veins in the lower rectum and anus. They are common during pregnancy due to increased pressure on the pelvic area. Other factors that can contribute to haemorrhoids include straining during bowel movements, sitting for long periods of time, and chronic constipation or diarrhoea."
Phosphocreatine in the muscle cell is found in:,the mitochondria.,all subcellular compartments.,the sarcolemma.,the cytoplasm.,D,clinical_knowledge,test,D,"[<OpenAIObject at 0x7f9839b1a9a0> JSON: {
  "" D"": -12.0855,
  ""B"": -12.500319,
  ""C"": -11.383284,
  ""D"": -2.1529595e-05,
  ""d"": -14.620968
}]","Phosphocreatine is found in the cytoplasm of muscle cells. It is a high-energy molecule that helps to store and transfer energy within the cell. It is used to regenerate ATP, the main energy source for muscle contraction."
What is the second commonest hospital acquired infection?,Urinary infection.,Wound infection.,Upper respiratory tract infection.,Ventilator-associated pneumonia.,D,clinical_knowledge,test,D,"[<OpenAIObject at 0x7f9839b1a400> JSON: {
  "" D"": -13.044006,
  ""B"": -9.637262,
  ""C"": -13.448296,
  ""D"": -6.9453374e-05,
  ""d"": -14.2571745
}]","The second most common hospital acquired infection is Ventilator-associated pneumonia (VAP). VAP is an infection of the lungs caused by bacteria that enter the lungs while a patient is on a ventilator. It is the second most common hospital acquired infection, after urinary tract infections."
A person weighs 62 kg. Their drug dose is 15 mg/kg. How many grams is their dose? Choose one answer from the following:,930,93,9.3,0.93,D,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b1ab80> JSON: {
  "" B"": -10.35195,
  ""A"": -9.808071,
  ""B"": -0.04777594,
  ""C"": -3.0686214,
  ""D"": -9.466037
}]","The person's dose is 15 mg/kg, which means 15 milligrams for every kilogram of body weight. Since the person weighs 62 kg, their dose is 15 mg/kg x 62 kg = 930 mg. Since 1 gram = 1000 mg, 930 mg = 0.93 grams. Therefore, the correct answer is (B) 93."
Which organ secretes insulin?,The gastric parietal cells.,The pancreas.,The walls of the large intestine.,The autonomic nervous system.,B,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b1a630> JSON: {
  "" B"": -12.801608,
  ""A"": -19.092392,
  ""B"": -3.529076e-06,
  ""C"": -18.437614,
  ""b"": -13.9528265
}]",The pancreas is the organ that secretes insulin. Insulin is a hormone that helps regulate the body's blood sugar levels. It is produced by the beta cells of the pancreas and released into the bloodstream.
Who set the world record for the mile race in 1886?,R Bannister,S Coe,J DiMaggio,WG George,D,clinical_knowledge,val,D,"[<OpenAIObject at 0x7f9839b1ac20> JSON: {
  "" D"": -10.915401,
  ""A"": -14.0378,
  ""B"": -16.924883,
  ""D"": -2.1171965e-05,
  ""d"": -12.99491
}]",The world record for the mile race in 1886 was set by William George (WG) George.
"In a double stranded molecule of DNA, the ratio of purines : pyrimidines is:",variable.,determined by the base sequence in RNA.,genetically determined.,always 1:1.,D,clinical_knowledge,test,D,"[<OpenAIObject at 0x7f9839b1a680> JSON: {
  "" D"": -11.321867,
  ""A"": -14.151871,
  ""C"": -16.462126,
  ""D"": -1.3900239e-05,
  ""d"": -13.841243
}]","In a double stranded molecule of DNA, the ratio of purines to pyrimidines is always 1:1. Purines are adenine (A) and guanine (G), while pyrimidines are cytosine (C) and thymine (T). This ratio is maintained regardless of the base sequence in the DNA."
The transcription of DNA to a molecule of messenger RNA occurs:,on the ribosomes.,in the cytosol.,in the nucleus.,only during cell division.,C,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b1a7c0> JSON: {
  "" C"": -13.929969,
  ""A"": -17.05812,
  ""C"": -1.5006569e-06,
  ""D"": -18.476593,
  ""c"": -14.103326
}]","The transcription of DNA to a molecule of messenger RNA (mRNA) occurs in the nucleus of a cell. During this process, the genetic information stored in the DNA is copied into a complementary strand of mRNA. The mRNA then leaves the nucleus and travels to the ribosomes, where it is translated into a polypeptide chain."
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,conceptual_physics,test,B,"[<OpenAIObject at 0x7f9839b18e50> JSON: {
  "" B"": -10.862109,
  ""A"": -2.0825157,
  ""B"": -0.13313095,
  ""C"": -11.6960535,
  ""b"": -12.690481
}]","When wind speeds up as it blows over the top of a hill, the atmospheric pressure there decreases. This is because the air is being forced to spread out over a larger area, which reduces the pressure."
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,conceptual_physics,test,A,"[<OpenAIObject at 0x7f9839b227c0> JSON: {
  "" A"": -11.188322,
  ""A"": -0.12251979,
  ""B"": -2.3887532,
  ""C"": -3.749011,
  ""D"": -12.296912
}]","The direction of natural processes is from states of higher order to lower order. This means that natural processes tend to move from more organized and complex states to simpler and less organized states. Examples of this include the process of entropy, which is the tendency of energy to disperse and become less organized over time."
