score,major,time,usage_description,heard_of,used,used_in_class,answered_mc,familiarity_1,familiarity_2,familiarity_3,familiarity_4,familiarity_5,familiarity_6,familiarity_7,familiarity_8
10787.0,"Materials Science Engineering, Business Administration",13828,"Most of the time I use it to review content and clear up misunderstandings or parts that might be vague from lecture. Additionally, I use it when I have absolutely no clue what the answer is. Additionally I use it to double check my answers.",True,True,True,True,Comfortable,Neutral,Uncomfortable,Neutral,Neutral,Comfortable,Uncomfortable,Uncomfortable
1075.0,Business Administration,1896,,True,False,False,False,Neutral,Comfortable,Comfortable,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
-869.0,Computer Science,10448,for brief questions about history and context of usually humanities subjects,True,True,True,True,Neutral,Neutral,Comfortable,Neutral,Uncomfortable,Uncomfortable,Neutral,Uncomfortable
7679.0,"Mechanical Engineering, Business Administration",2597,"Brainstorming, as an editor to help me polish my writing",True,True,True,False,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral
250.0,"Bioengineering, Business Administration",3590,Used the chatbot to validate my decisions/assumptions in technical homeworks.,True,True,True,False,Neutral,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable
1077.0,Business Administration,9627,chat gpt essay prompt for assistance ,True,True,True,False,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,Neutral,Uncomfortable
-13480.0,Data Science,9652,Helping clarify class concepts.,True,True,True,True,Uncomfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable
11079.0,Political Economy,10233,,True,False,False,False,Comfortable,Neutral,Neutral,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable
26491.0,EECS,10547,"Come up with ideas for essays, write, understand, and debug code, look up things online",True,True,True,False,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral
13780.0,Business Administration,10617,To come up with ideas for how to formulate a study guide or essay. I also asked it what are the most important topics in Data Science and if it could explain them in simple terms,True,True,True,False,Comfortable,Neutral,Uncomfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral
2914.0,Computer Science,10765,It helps me code. It can generate useful snippets of code,True,True,True,False,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable
951.0,Psychology,1149,I use them tp help come up with titles for my papers or to explain models or concepts to me.,True,True,True,True,Neutral,Comfortable,Neutral,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Neutral
2944.0,Business Administration,1285,,True,True,False,False,Neutral,Neutral,Neutral,Comfortable,Neutral,Uncomfortable,Uncomfortable,Neutral
9556.0,"Data Science, Business Administration",12837,,True,True,False,False,Neutral,Neutral,Comfortable,Comfortable,Uncomfortable,Neutral,Neutral,Neutral
3061.0,Business Administration,1608,,True,True,False,False,Comfortable,Neutral,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable
-158.0,Business Administration,13522,,True,False,False,False,Neutral,Neutral,Neutral,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
10145.0,"Business Administration, Data Science",2025,Generate sample prompt which I use as a rough draft to add more detailed information to,True,True,True,False,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral
933.0,Business Administration,2003,"I use ChatGPT to assist me with lots of my work, ranging from internship research to essays. Overall, I see it as an amazing tool. However, I am cognizant that the information is not always accurate. Therefore, I use AI as a tool to get baseline information and it is then my role to confirm it's validity through manual research.",True,True,True,False,Neutral,Uncomfortable,Neutral,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
7493.0,Business Administration,13939,,True,True,False,False,Neutral,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Neutral
12335.0,Business Administration,14178,,True,False,False,False,Comfortable,Comfortable,Neutral,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
12016.0,Chemical Engineering,2035,I would often use AI chatbots to look up simple facts that I would need for a project. I have also used it to write templates for certain writing assignments in order to get a start on the assignment or whatever writing task I need to complete.,True,True,True,False,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Neutral
-7642.0,Psychology,2308,,True,True,False,False,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
5246.0,Psychology,2180,,True,True,False,False,Comfortable,Neutral,Uncomfortable,Neutral,Neutral,Neutral,Uncomfortable,Neutral
4595.0,"Neurobiology, Psychology",2303,,True,False,False,False,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable
-5500.0,Interdisciplinary Studies Field,2213,I asked it to summarize or explain concepts. I used that information and compared it to my notes and lecture and then decided if I wanted to use this information to study or not.,True,True,True,True,Neutral,Neutral,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
-18994.0,Business Administration,2323,,True,True,False,False,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
2630.0,Business Administration,2609,,True,True,False,False,Comfortable,Neutral,Neutral,Comfortable,Uncomfortable,Neutral,Neutral,Comfortable
4609.0,Business Administration,2520,,True,False,False,False,Comfortable,Neutral,Comfortable,Neutral,Uncomfortable,Neutral,Neutral,Neutral
8180.0,"Bioengineering, Business Administration",2785,I used it to explain concepts i did not understand when studying,True,True,True,False,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral
4026.0,Business Administration,2616,'-explain codes - simplify concepts - step by step problem explanation - resume polishing -cover letter draft -research like compiling lists,True,True,True,True,Uncomfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,Neutral,Uncomfortable
2477.0,Media Studies,3297,,True,True,False,False,Neutral,Comfortable,Comfortable,Neutral,Neutral,Uncomfortable,Uncomfortable,Comfortable
837.0,Business Administration,3434,,True,True,False,False,Neutral,Neutral,Comfortable,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable
13250.0,"Business Administration, Demography",3565,,True,True,False,False,Neutral,Neutral,Uncomfortable,Comfortable,Neutral,Uncomfortable,Uncomfortable,Comfortable
-2421.0,Business Administration,4073,,True,False,False,False,Neutral,Neutral,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable
4541.0,"Business Administration, Data Science",1318,Just to search up information and answer questions,True,True,True,True,Neutral,Comfortable,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Comfortable
2652.0,"Public Health, Business Administration",1623,Studying and practice question explanations,True,True,True,False,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Uncomfortable,Neutral,Neutral
2897.0,Business Administration,1652,,True,False,False,False,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable
-2767.0,"Data Science, Business Administration",1627,"Looking up terms, confirmation of answers, homework help",True,True,True,True,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Uncomfortable,Comfortable,Neutral
6029.0,"Business Administration, Media Studies",1637,used it to understand a scholars main idea,True,True,True,False,Uncomfortable,Comfortable,Neutral,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
6266.0,"Business Administration, Chinese",1684,"Studying, understanding concepts",True,True,True,False,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable
5078.0,"Cognitive Science, Data Science",1718,,True,True,False,False,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral
5277.0,Economics,1855,To provide assistance with homework and quiz problems.,True,True,True,True,Comfortable,Neutral,Neutral,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable
4991.0,"Business Administration, Data Science",1801,,True,True,False,False,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral,Uncomfortable,Uncomfortable,Neutral
1809.0,Business Administration,5816,"I have used it for my startup giving it prompts to answer about my target audience, business model, etc.",True,True,True,True,Comfortable,Neutral,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
-15842.0,Business Administration,2306,,True,False,False,False,Comfortable,Uncomfortable,Neutral,Comfortable,Uncomfortable,Neutral,Uncomfortable,Neutral
-1580.0,"Business Administration, Data Science",2450,To learn more information about a concept or topic from class,True,True,True,False,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Uncomfortable,Comfortable,Neutral
9488.0,"Molecular and Cell Biology, Business Administration, Data Science",2870,I used the AI Chatbot to help brainstorming stylish openings when writing papers,True,True,True,False,Neutral,Uncomfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable
12845.0,Business Administration,13137,I used chatbots to come up with ideas for things to write.,True,True,True,False,Neutral,Neutral,Neutral,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable
-7251.0,"Business Administration, Data Science",13109,I used them to clarify concepts that are not really clear,True,True,True,True,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable
-43.0,"Computer Science, Business Administration",13451,"When I am completely lost on a subject, I may ask a chatbot to see if it comes up with anything useful. Most of the time, it is not. ",True,True,True,False,Comfortable,Comfortable,Uncomfortable,Comfortable,Uncomfortable,Neutral,Comfortable,Uncomfortable
10365.0,"Molecular and Cell Biology, Business Administration",13764,I prompted the AI chatbot to advice me on responding to a question.,True,True,True,True,Neutral,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Neutral,Uncomfortable,Neutral
6488.0,Business Administration,13734,,True,False,False,False,Comfortable,Neutral,Uncomfortable,Comfortable,Uncomfortable,Neutral,Comfortable,Comfortable
13062.0,"Business Administration, Economics",14457,I copied and pasted the questions into the AI chatbot and asked for it to provide me with an answer,True,True,True,True,Neutral,Neutral,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Neutral,Neutral
5972.0,"Business Administration, Psychology",1132,"I asked it to explain topics to me, I have pasted questions with and without potential answers",True,True,True,True,Comfortable,Neutral,Neutral,Comfortable,Uncomfortable,Uncomfortable,Neutral,Neutral
4098.0,Business Administration,1219,,True,True,False,False,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
-9563.0,Business Administration,1283,,True,True,False,False,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable
7231.0,"Computer Science, Business Administration",17064,I used the chatbot primarily for studying,True,True,True,True,Comfortable,Neutral,Uncomfortable,Comfortable,Uncomfortable,Neutral,Comfortable,Uncomfortable
-125.0,Business Administration,17131,,True,False,False,False,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral
-3638.0,Business Administration,17224,I use it to gain a better understanding of concepts that I am unsure of,True,True,True,False,Neutral,Neutral,Uncomfortable,Neutral,Neutral,Neutral,Neutral,Uncomfortable
1125.0,"Molecular and Cell Biology, Business Administration",17277,I use it as preliminary research for an paper or homework assignment involving complex thought. It's simply a way of priming myself on information that I may already have or figuring out a new direction take with a given task. ,True,True,True,True,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable
8907.0,Business Administration,17562,,True,True,False,False,Neutral,Neutral,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Neutral,Uncomfortable
-6113.0,Business Administration,17905,I used ChapGPT a few times to answer things that I didn't know about and wanted to learn,True,True,True,True,Neutral,Neutral,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
10429.0,"Business Administration, Science and Technology Studies",18011,I used it for a summary of a source to determine if I wanted to use that source.,True,True,True,True,Neutral,Neutral,Uncomfortable,Uncomfortable,Neutral,Neutral,Uncomfortable,Neutral
-3325.0,Psychology,1547,i use it to confirm my work or answers but not during tests mainly hwks and projects,True,True,True,False,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
398.0,Business Administration,1995,For homework help on topics that required in depth calculations and explanations.,True,True,True,True,Comfortable,Comfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable
-14687.0,Business Administration,2331,,True,False,False,False,Neutral,Neutral,Neutral,Comfortable,Neutral,Uncomfortable,Neutral,Neutral
712.0,"Business Administration, Political Economy",2178,,True,True,False,False,Uncomfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
3012.0,"Computer Science, Business Administration",2617,to learn concepts and look up things. fantastic for looking up how to do things for cs classes without needing to go to documentation.,True,True,True,False,Neutral,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable
77.0,Economics,2595,"When i have problem with study, i will ask AI to explain it for me.",True,True,True,True,Neutral,Neutral,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable
6205.0,"Business Administration, Ancient Greek and Roman Studies",2440,,True,True,False,False,Uncomfortable,Comfortable,Comfortable,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable
-10828.0,Business Administration,2512,,True,False,False,False,Neutral,Neutral,Neutral,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
1973.0,Economics,2888,,True,False,False,False,Neutral,Comfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Neutral
7750.0,Business Administration,3015,,True,False,False,False,Neutral,Comfortable,Comfortable,Neutral,Neutral,Uncomfortable,Uncomfortable,Comfortable
697.0,Mathematics,3690,"I worked with another student on a coding question from their homework for a CS class, and since we had heard of the new chatbot's capabilities, we wanted to put it to the test. It produced a largely correct output, but we still had to debug and correct parts of the chatbot's output.",True,True,True,True,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral
1575.0,Chemical Engineering,1797,,True,True,False,False,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Neutral
1390.0,Business Administration,5402,,True,False,False,False,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
3726.0,"Computer Science, Economics",1999,,True,True,False,False,Comfortable,Uncomfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Uncomfortable
5250.0,"Business Administration, Data Science",2011,Used to find find evidence when writing a research paper. THe sources provided included valuable information that supported my thesis,True,True,True,False,Comfortable,Uncomfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable
5997.0,Business Administration,2123,to generate ideas for group projects,True,True,True,False,Neutral,Neutral,Comfortable,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
6816.0,Psychology,2266,To help brainstorm outlines for essays,True,True,True,False,Neutral,Comfortable,Neutral,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable
7.0,"Bioengineering, Business Administration",2297,Need help with answering homework or understanding a concept,True,True,True,True,Comfortable,Neutral,Uncomfortable,Neutral,Comfortable,Neutral,Neutral,Uncomfortable
3709.0,"EECS, Business Administration",6216,Asked to explain concepts when studying.,True,True,True,True,Comfortable,Comfortable,Comfortable,Comfortable,Uncomfortable,Comfortable,Comfortable,Comfortable
5186.0,"Business Administration, Data Science",2634,,True,False,False,False,Neutral,Comfortable,Comfortable,Neutral,Uncomfortable,Uncomfortable,Neutral,Neutral
-2729.0,Business Administration,2628,Used to help answer homework questions or concepts,True,True,True,True,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable
12400.0,"Business Administration, Data Science",6146,HW and essay writing. Also for writing emails.,True,True,True,False,Comfortable,Neutral,Uncomfortable,Comfortable,Uncomfortable,Neutral,Comfortable,Comfortable
6214.0,"Political Science, Business Administration",2988,to help me come with transitions for an essay,True,True,True,True,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Uncomfortable,Uncomfortable,Comfortable
1682.0,Environmental Economics and Policy,6839,"I used it during a multiple choice quiz, i know it's icky but most resourceful. ",True,True,True,True,Uncomfortable,Neutral,Neutral,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Neutral
